"ID","reference_area","date","HPIndex","HPIndex_log","HPIndex_HPtrend","HPIndex_HPcycle"
"99","FR","France",1994-07-01,54.55,399.911771227908,398.592705069628,1.31906615827965
"100","FR","France",1994-10-01,53.6275,398.206199620812,397.999607901123,0.206591719688876
"101","FR","France",1995-01-01,52.1462,395.405131206129,397.434310328599,-2.02917912247018
"102","FR","France",1995-04-01,52.2721,395.646276792698,396.90782069517,-1.26154390247168
"103","FR","France",1995-07-01,53.0726,397.166078753723,396.429879106998,0.736199646725511
"104","FR","France",1995-10-01,52.1067,395.329353933957,396.009437205307,-0.680083271350296
"105","FR","France",1996-01-01,51.5001,394.158374941538,395.6559067561,-1.49753181456187
"106","FR","France",1996-04-01,51.1051,393.388429653482,395.378274473334,-1.98984481985158
"107","FR","France",1996-07-01,52.4675,396.019393028944,395.184591113584,0.834801915359984
"108","FR","France",1996-10-01,52.2565,395.616428502152,395.081663780411,0.53476472174101
"109","FR","France",1997-01-01,49.5238,390.245336210428,395.076821328573,-4.83148511814502
"110","FR","France",1997-04-01,51.8727,394.879264021854,395.177726840781,-0.298462818927847
"111","FR","France",1997-07-01,51.8038,394.746350564815,395.389023721546,-0.642673156730544
"112","FR","France",1997-10-01,51.6576,394.463732898107,395.715168836115,-1.25143593800814
"113","FR","France",1998-01-01,50.3845,391.968358809476,396.160217379017,-4.19185856954092
"114","FR","France",1998-04-01,51.3654,393.896479404178,396.727442397314,-2.83096299313619
"115","FR","France",1998-07-01,52.7162,396.492280868901,397.417497026467,-0.9252161575662
"116","FR","France",1998-10-01,52.7499,396.556187661978,398.229265050063,-1.67307738808473
"117","FR","France",1999-01-01,52.7072,396.475206860622,399.161051991592,-2.68584513097012
"118","FR","France",1999-04-01,53.6063,398.166659848322,400.210117701177,-2.04345785285445
"119","FR","France",1999-07-01,56.1023,402.717680990572,401.372043375731,1.34563761484017
"120","FR","France",1999-10-01,55.8772,402.31564257604,402.641133051014,-0.3254904749737
"121","FR","France",2000-01-01,56.9862,404.280913325918,404.012531786291,0.268381539627183
"122","FR","France",2000-04-01,58.3256,406.604110503846,405.481181209282,1.12292929456468
"123","FR","France",2000-07-01,60.1241,409.641075949892,407.042190686168,2.59888526372405
"124","FR","France",2000-10-01,59.6417,408.835499384979,408.691371413942,0.144127971036867
"125","FR","France",2001-01-01,60.3789,410.063970615978,410.426158892883,-0.362188276904996
"126","FR","France",2001-04-01,61.4605,411.839469204185,412.244078703255,-0.404609499069974
"127","FR","France",2001-07-01,63.1445,414.542575078347,414.142430057646,0.400145020700315
"128","FR","France",2001-10-01,63.3486,414.865280707544,416.118259287711,-1.25297858016751
"129","FR","France",2002-01-01,63.4939,415.094383829218,418.16886281574,-3.07447898652236
"130","FR","France",2002-04-01,65.1741,417.706215074839,420.29075395241,-2.58453887757151
