"ID","date","GDP"
"296","AT",2018-04-01,94901.841
"297","AT",2018-07-01,96382.525
"298","AT",2018-10-01,100877.008
"299","AT",2019-01-01,97050.678
"300","AT",2019-04-01,98261.123
"301","AT",2019-07-01,99484.92
"302","BE",1995-01-01,51243
"303","BE",1995-04-01,53186
"304","BE",1995-07-01,51475
"305","BE",1995-10-01,54585
"306","BE",1996-01-01,52236
"307","BE",1996-04-01,54095
"308","BE",1996-07-01,52168
"309","BE",1996-10-01,55789
"310","BE",1997-01-01,53772
"311","BE",1997-04-01,56532
"312","BE",1997-07-01,54975
"313","BE",1997-10-01,58822
"314","BE",1998-01-01,56688
"315","BE",1998-04-01,58805
"316","BE",1998-07-01,56822
"317","BE",1998-10-01,60309
"318","BE",1999-01-01,58150
"319","BE",1999-04-01,60722
"320","BE",1999-07-01,59219
"321","BE",1999-10-01,64215
"322","BE",2000-01-01,61774
"323","BE",2000-04-01,64522
"324","BE",2000-07-01,62471
"325","BE",2000-10-01,67609
"326","BE",2001-01-01,63929
"327","BE",2001-04-01,67113
"328","BE",2001-07-01,64389
"329","BE",2001-10-01,68904
"330","BE",2002-01-01,65846
"331","BE",2002-04-01,69024
"332","BE",2002-07-01,66615
"333","BE",2002-10-01,71770
"334","BE",2003-01-01,67859
"335","BE",2003-04-01,70879
"336","BE",2003-07-01,68400
"337","BE",2003-10-01,74063
"338","BE",2004-01-01,71340
"339","BE",2004-04-01,74658
"340","BE",2004-07-01,72502
"341","BE",2004-10-01,78320
"342","BE",2005-01-01,74301
"343","BE",2005-04-01,78056
"344","BE",2005-07-01,75474
"345","BE",2005-10-01,82206
"346","BE",2006-01-01,78167
"347","BE",2006-04-01,81604
"348","BE",2006-07-01,79178
"349","BE",2006-10-01,86202
"350","BE",2007-01-01,82909
"351","BE",2007-04-01,86740
"352","BE",2007-07-01,83630
"353","BE",2007-10-01,90340
"354","BE",2008-01-01,85776
"355","BE",2008-04-01,89999
"356","BE",2008-07-01,85932
"357","BE",2008-10-01,90035
"358","BE",2009-01-01,83524
"359","BE",2009-04-01,86426
"360","BE",2009-07-01,84648
"361","BE",2009-10-01,91875
"362","BE",2010-01-01,86559
"363","BE",2010-04-01,91498
"364","BE",2010-07-01,88635
"365","BE",2010-10-01,96448
"366","BE",2011-01-01,90847
"367","BE",2011-04-01,94533
"368","BE",2011-07-01,91288
"369","BE",2011-10-01,99300
"370","BE",2012-01-01,93770
"371","BE",2012-04-01,97361
"372","BE",2012-07-01,93638
"373","BE",2012-10-01,101406
"374","BE",2013-01-01,94778
"375","BE",2013-04-01,99134
"376","BE",2013-07-01,95256
"377","BE",2013-10-01,103712
"378","BE",2014-01-01,97159
"379","BE",2014-04-01,100995
"380","BE",2014-07-01,98215
"381","BE",2014-10-01,106635
"382","BE",2015-01-01,100109
"383","BE",2015-04-01,104882
"384","BE",2015-07-01,101419
"385","BE",2015-10-01,110292
"386","BE",2016-01-01,102368
"387","BE",2016-04-01,108971
"388","BE",2016-07-01,104817
"389","BE",2016-10-01,114217
"390","BE",2017-01-01,107505
"391","BE",2017-04-01,112733
"392","BE",2017-07-01,107947
"393","BE",2017-10-01,118180
"394","BE",2018-01-01,110251
"395","BE",2018-04-01,116015
"396","BE",2018-07-01,111005
"397","BE",2018-10-01,122549
"398","BE",2019-01-01,113590
"399","BE",2019-04-01,119414
"400","CZ",1995-01-01,351159
"401","CZ",1995-04-01,391844
"402","CZ",1995-07-01,412120
"403","CZ",1995-10-01,431324
"404","CZ",1996-01-01,409858
"405","CZ",1996-04-01,452063
"406","CZ",1996-07-01,468312
"407","CZ",1996-10-01,488109
"408","CZ",1997-01-01,440908
"409","CZ",1997-04-01,485938
"410","CZ",1997-07-01,503631
"411","CZ",1997-10-01,528248
"412","CZ",1998-01-01,483926
"413","CZ",1998-04-01,542240
"414","CZ",1998-07-01,556445
"415","CZ",1998-10-01,563778
"416","CZ",1999-01-01,503674
"417","CZ",1999-04-01,563117
"418","CZ",1999-07-01,573883
"419","CZ",1999-10-01,601743
"420","CZ",2000-01-01,537495
"421","CZ",2000-04-01,596078
"422","CZ",2000-07-01,611036
"423","CZ",2000-10-01,634784
"424","CZ",2001-01-01,580217
"425","CZ",2001-04-01,640112
"426","CZ",2001-07-01,657811
"427","CZ",2001-10-01,690169
"428","CZ",2002-01-01,615939
"429","CZ",2002-04-01,676048
"430","CZ",2002-07-01,685726
"431","CZ",2002-10-01,703931
"432","CZ",2003-01-01,646079
"433","CZ",2003-04-01,704066
"434","CZ",2003-07-01,717983
"435","CZ",2003-10-01,742254
"436","CZ",2004-01-01,695854
"437","CZ",2004-04-01,754409
"438","CZ",2004-07-01,777041
"439","CZ",2004-10-01,835140
"440","CZ",2005-01-01,749694
"441","CZ",2005-04-01,816772
"442","CZ",2005-07-01,824170
"443","CZ",2005-10-01,874295
"444","CZ",2006-01-01,801891
"445","CZ",2006-04-01,869390
"446","CZ",2006-07-01,895248
"447","CZ",2006-10-01,946269
"448","CZ",2007-01-01,885010
"449","CZ",2007-04-01,949887
"450","CZ",2007-07-01,977949
"451","CZ",2007-10-01,1027271
"452","CZ",2008-01-01,929702
"453","CZ",2008-04-01,1015946
"454","CZ",2008-07-01,1040455
"455","CZ",2008-10-01,1038014
"456","CZ",2009-01-01,933029
"457","CZ",2009-04-01,982413
"458","CZ",2009-07-01,986656
"459","CZ",2009-10-01,1028311
"460","CZ",2010-01-01,917765
"461","CZ",2010-04-01,1002361
"462","CZ",2010-07-01,1003951
"463","CZ",2010-10-01,1038387
"464","CZ",2011-01-01,935801
"465","CZ",2011-04-01,1015093
"466","CZ",2011-07-01,1020757
"467","CZ",2011-10-01,1062104
"468","CZ",2012-01-01,957466
"469","CZ",2012-04-01,1021068
"470","CZ",2012-07-01,1021043
"471","CZ",2012-10-01,1060335
"472","CZ",2013-01-01,947380
"473","CZ",2013-04-01,1020805
"474","CZ",2013-07-01,1038854
"475","CZ",2013-10-01,1091089
"476","CZ",2014-01-01,990626
"477","CZ",2014-04-01,1076850
"478","CZ",2014-07-01,1107159
"479","CZ",2014-10-01,1139154
"480","CZ",2015-01-01,1058526
"481","CZ",2015-04-01,1155270
"482","CZ",2015-07-01,1175617
"483","CZ",2015-10-01,1206370
"484","CZ",2016-01-01,1108360
"485","CZ",2016-04-01,1208935
"486","CZ",2016-07-01,1209349
"487","CZ",2016-10-01,1241346
"488","CZ",2017-01-01,1158117
"489","CZ",2017-04-01,1267130
"490","CZ",2017-07-01,1287481
"491","CZ",2017-10-01,1334539
"492","CZ",2018-01-01,1230197
"493","CZ",2018-04-01,1334409
"494","CZ",2018-07-01,1352197
"495","CZ",2018-10-01,1411935
"496","CZ",2019-01-01,1306634
"497","CZ",2019-04-01,1416865
"498","DK",1995-01-01,254333
"499","DK",1995-04-01,261543
"500","DK",1995-07-01,252839
"501","DK",1995-10-01,267767
"502","DK",1996-01-01,260774
"503","DK",1996-04-01,275165
"504","DK",1996-07-01,269624
"505","DK",1996-10-01,282460
"506","DK",1997-01-01,273931
"507","DK",1997-04-01,291776
"508","DK",1997-07-01,281821
"509","DK",1997-10-01,298602
"510","DK",1998-01-01,288367
"511","DK",1998-04-01,294317
"512","DK",1998-07-01,293804
"513","DK",1998-10-01,309500
"514","DK",1999-01-01,296266
"515","DK",1999-04-01,310017
"516","DK",1999-07-01,306643
"517","DK",1999-10-01,328595
"518","DK",2000-01-01,316940
"519","DK",2000-04-01,330372
"520","DK",2000-07-01,327423
"521","DK",2000-10-01,352177
"522","DK",2001-01-01,329476
"523","DK",2001-04-01,342089
"524","DK",2001-07-01,340469
"525","DK",2001-10-01,359492
"526","DK",2002-01-01,337814
"527","DK",2002-04-01,355013
"528","DK",2002-07-01,350032
"529","DK",2002-10-01,367412
"530","DK",2003-01-01,347292
"531","DK",2003-04-01,356765
"532","DK",2003-07-01,354633
"533","DK",2003-10-01,378062
"534","DK",2004-01-01,360562
"535","DK",2004-04-01,375295
"536","DK",2004-07-01,373172
"537","DK",2004-10-01,396972
"538","DK",2005-01-01,372664
"539","DK",2005-04-01,401054
"540","DK",2005-07-01,395802
"541","DK",2005-10-01,416464
"542","DK",2006-01-01,399594
"543","DK",2006-04-01,427484
"544","DK",2006-07-01,421474
"545","DK",2006-10-01,433708
"546","DK",2007-01-01,416069
"547","DK",2007-04-01,431812
"548","DK",2007-07-01,432689
"549","DK",2007-10-01,458276
"550","DK",2008-01-01,432763
"551","DK",2008-04-01,456652
"552","DK",2008-07-01,454312
"553","DK",2008-10-01,457743
"554","DK",2009-01-01,420757
"555","DK",2009-04-01,426600
"556","DK",2009-07-01,429248
"557","DK",2009-10-01,445538
"558","DK",2010-01-01,430538
"559","DK",2010-04-01,454629
"560","DK",2010-07-01,455756
"561","DK",2010-10-01,470002
"562","DK",2011-01-01,449742
"563","DK",2011-04-01,466636
"564","DK",2011-07-01,456526
"565","DK",2011-10-01,473950
"566","DK",2012-01-01,457613
"567","DK",2012-04-01,477661
"568","DK",2012-07-01,474105
"569","DK",2012-10-01,485623
"570","DK",2013-01-01,464259
"571","DK",2013-04-01,487525
"572","DK",2013-07-01,482170
"573","DK",2013-10-01,495723
"574","DK",2014-01-01,479594
"575","DK",2014-04-01,495209
"576","DK",2014-07-01,493652
"577","DK",2014-10-01,512711
"578","DK",2015-01-01,495858
"579","DK",2015-04-01,513525
"580","DK",2015-07-01,505858
"581","DK",2015-10-01,521115
"582","DK",2016-01-01,502616
"583","DK",2016-04-01,532980
"584","DK",2016-07-01,520265
"585","DK",2016-10-01,544355
"586","DK",2017-01-01,534188
"587","DK",2017-04-01,549432
"588","DK",2017-07-01,536178
"589","DK",2017-10-01,558269
"590","DK",2018-01-01,531967
"591","DK",2018-04-01,561378
"592","DK",2018-07-01,553146
"593","DK",2018-10-01,576624
"594","DK",2019-01-01,553741
"595","DK",2019-04-01,579548
"596","FI",1990-01-01,21526
"597","FI",1990-04-01,22901
"598","FI",1990-07-01,22614
"599","FI",1990-10-01,23918
"600","FI",1991-01-01,20716
"601","FI",1991-04-01,21924
"602","FI",1991-07-01,21657
"603","FI",1991-10-01,22602
"604","FI",1992-01-01,20179
"605","FI",1992-04-01,21307
"606","FI",1992-07-01,21132
"607","FI",1992-10-01,22164
"608","FI",1993-01-01,20142
"609","FI",1993-04-01,21414
"610","FI",1993-07-01,21428
"611","FI",1993-10-01,22724
"612","FI",1994-01-01,20594
"613","FI",1994-04-01,22294
"614","FI",1994-07-01,22904
"615","FI",1994-10-01,24957
"616","FI",1995-01-01,22759
"617","FI",1995-04-01,24901
"618","FI",1995-07-01,24691
"619","FI",1995-10-01,26198
"620","FI",1996-01-01,23846
"621","FI",1996-04-01,25310
"622","FI",1996-07-01,25333
"623","FI",1996-10-01,27594
"624","FI",1997-01-01,25059
"625","FI",1997-04-01,27560
"626","FI",1997-07-01,27834
"627","FI",1997-10-01,30354
"628","FI",1998-01-01,27853
"629","FI",1998-04-01,30110
