"ID","date","NFECredit"
"220","KR",1963-01-01,27
"221","NL",1963-01-01,47.1
"222","NO",1963-01-01,117.4
"223","NZ",1963-01-01,27.7
"224","PT",1963-01-01,64.3
"225","SE",1963-01-01,108.6
"226","US",1963-01-01,81.6
"227","AT",1963-04-01,33.6
"228","AU",1963-04-01,54.4
"229","CA",1963-04-01,80.1
"230","CH",1963-04-01,114.5
"231","DE",1963-04-01,66.6
"232","GB",1963-04-01,54.3
"233","IN",1963-04-01,13.1
"234","IT",1963-04-01,65.6
"235","KR",1963-04-01,27.2
"236","NL",1963-04-01,47.5
"237","NO",1963-04-01,117.2
"238","NZ",1963-04-01,26.5
"239","PT",1963-04-01,65.1
"240","SE",1963-04-01,110.3
"241","US",1963-04-01,83.1
"242","AT",1963-07-01,33.4
"243","AU",1963-07-01,54.3
"244","CA",1963-07-01,79.2
"245","CH",1963-07-01,113.8
"246","DE",1963-07-01,67
"247","GB",1963-07-01,53.5
"248","IN",1963-07-01,12.6
"249","IT",1963-07-01,66.5
"250","KR",1963-07-01,26.4
"251","NL",1963-07-01,48.4
"252","NO",1963-07-01,117
"253","NZ",1963-07-01,27.4
"254","PT",1963-07-01,65.8
"255","SE",1963-07-01,110.7
"256","US",1963-07-01,83.6
"257","AT",1963-10-01,33.6
"258","AU",1963-10-01,54.3
"259","CA",1963-10-01,80.3
"260","CH",1963-10-01,114.4
"261","DE",1963-10-01,68.1
"262","GB",1963-10-01,52.3
"263","IN",1963-10-01,12.6
"264","IT",1963-10-01,67.2
"265","KR",1963-10-01,23.9
"266","NL",1963-10-01,49.2
"267","NO",1963-10-01,116.5
"268","NZ",1963-10-01,26.4
"269","PT",1963-10-01,66.4
"270","SE",1963-10-01,110.2
"271","US",1963-10-01,84.8
"272","AT",1964-01-01,33.6
"273","AU",1964-01-01,54.7
"274","CA",1964-01-01,78.9
"275","CH",1964-01-01,117.7
"276","DE",1964-01-01,67.3
"277","GB",1964-01-01,59.6
"278","IN",1964-01-01,12.5
"279","IT",1964-01-01,66.3
"280","KR",1964-01-01,23
"281","NL",1964-01-01,49.9
"282","NO",1964-01-01,116.3
"283","NZ",1964-01-01,29.4
"284","PT",1964-01-01,67.9
"285","SE",1964-01-01,112.2
"286","US",1964-01-01,84.3
"287","AT",1964-04-01,34.3
"288","AU",1964-04-01,54.5
"289","CA",1964-04-01,81.2
"290","CH",1964-04-01,117.1
"291","DE",1964-04-01,68.2
"292","GB",1964-04-01,58.3
"293","IN",1964-04-01,12.3
"294","IT",1964-04-01,66.1
"295","KR",1964-04-01,22.3
"296","NL",1964-04-01,50.3
"297","NO",1964-04-01,115.8
"298","NZ",1964-04-01,27.3
"299","PT",1964-04-01,69.3
"300","SE",1964-04-01,111.8
"301","US",1964-04-01,85.2
"302","AT",1964-07-01,34.8
"303","AU",1964-07-01,54.8
"304","CA",1964-07-01,80.8
"305","CH",1964-07-01,115.2
"306","DE",1964-07-01,68.8
"307","GB",1964-07-01,57.1
"308","IN",1964-07-01,11.9
"309","IT",1964-07-01,66.2
"310","KR",1964-07-01,21.3
"311","NL",1964-07-01,50.5
"312","NO",1964-07-01,115.2
"313","NZ",1964-07-01,26.8
"314","PT",1964-07-01,70.5
"315","SE",1964-07-01,111.7
"316","US",1964-07-01,85.3
"317","AT",1964-10-01,35.8
"318","AU",1964-10-01,54.9
"319","CA",1964-10-01,81.9
"320","CH",1964-10-01,115.9
"321","DE",1964-10-01,69.6
"322","GB",1964-10-01,55.9
"323","IN",1964-10-01,11.8
"324","IT",1964-10-01,66.6
"325","JP",1964-10-01,113.2
"326","KR",1964-10-01,19.6
"327","NL",1964-10-01,49.9
"328","NO",1964-10-01,114.5
"329","NZ",1964-10-01,26.1
"330","PT",1964-10-01,71.5
"331","SE",1964-10-01,110.5
"332","US",1964-10-01,86.4
"333","AT",1965-01-01,36.6
"334","AU",1965-01-01,55.6
"335","CA",1965-01-01,81.3
"336","CH",1965-01-01,115.5
"337","DE",1965-01-01,69.7
"338","GB",1965-01-01,62.3
"339","IN",1965-01-01,12
"340","IT",1965-01-01,67.4
"341","JP",1965-01-01,114
"342","KR",1965-01-01,19.6
"343","NL",1965-01-01,50.6
"344","NO",1965-01-01,113.3
"345","NZ",1965-01-01,29.6
"346","PT",1965-01-01,72.2
"347","SE",1965-01-01,111
"348","US",1965-01-01,86.3
"349","AT",1965-04-01,37.5
"350","AU",1965-04-01,56.5
"351","CA",1965-04-01,84.9
"352","CH",1965-04-01,115.8
"353","DE",1965-04-01,70.6
"354","GB",1965-04-01,61.3
"355","IN",1965-04-01,12.3
"356","IT",1965-04-01,67.9
"357","JP",1965-04-01,113.9
"358","KR",1965-04-01,20.5
"359","NL",1965-04-01,50.2
"360","NO",1965-04-01,112.2
"361","NZ",1965-04-01,28.8
"362","PT",1965-04-01,72.8
"363","SE",1965-04-01,112.1
"364","US",1965-04-01,87.3
"365","AT",1965-07-01,37.6
"366","AU",1965-07-01,57.6
"367","CA",1965-07-01,86.3
"368","CH",1965-07-01,116.1
"369","DE",1965-07-01,70.7
"370","GB",1965-07-01,60
"371","IN",1965-07-01,12.1
"372","IT",1965-07-01,68.2
"373","JP",1965-07-01,116.5
"374","KR",1965-07-01,21
"375","NL",1965-07-01,50.5
"376","NO",1965-07-01,111.1
"377","NZ",1965-07-01,28.6
"378","PT",1965-07-01,73.2
"379","SE",1965-07-01,111.1
"380","US",1965-07-01,87.3
"381","AT",1965-10-01,38.9
"382","AU",1965-10-01,58.8
"383","CA",1965-10-01,88
"384","CH",1965-10-01,117.5
"385","DE",1965-10-01,71.3
"386","GB",1965-10-01,59
"387","IN",1965-10-01,12.4
"388","IT",1965-10-01,68.3
"389","JP",1965-10-01,120.4
"390","KR",1965-10-01,23.6
"391","NL",1965-10-01,51.4
"392","NO",1965-10-01,110.3
"393","NZ",1965-10-01,27.6
"394","PT",1965-10-01,73.8
"395","SE",1965-10-01,110.8
"396","US",1965-10-01,87.5
"397","AT",1966-01-01,39.4
"398","AU",1966-01-01,59.7
"399","CA",1966-01-01,84.5
"400","CH",1966-01-01,116.7
"401","DE",1966-01-01,71.4
"402","GB",1966-01-01,58.1
"403","IN",1966-01-01,12.6
"404","IT",1966-01-01,69
"405","JP",1966-01-01,120.7
"406","KR",1966-01-01,24
"407","NL",1966-01-01,53.3
"408","NO",1966-01-01,110.9
"409","NZ",1966-01-01,31.6
"410","PT",1966-01-01,73.1
"411","SE",1966-01-01,112.4
"412","US",1966-01-01,86.8
"413","AT",1966-04-01,40.3
"414","AU",1966-04-01,60.5
"415","CA",1966-04-01,84.6
"416","CH",1966-04-01,117.1
"417","DE",1966-04-01,72.3
"418","GB",1966-04-01,57.1
"419","IN",1966-04-01,12.7
"420","IT",1966-04-01,69.8
"421","JP",1966-04-01,118.9
"422","KR",1966-04-01,25.1
"423","NL",1966-04-01,52.8
"424","NO",1966-04-01,111.6
"425","NZ",1966-04-01,30
"426","PT",1966-04-01,73.6
"427","SE",1966-04-01,113
"428","US",1966-04-01,87.5
"429","AT",1966-07-01,40.7
"430","AU",1966-07-01,60.7
"431","CA",1966-07-01,83.3
"432","CH",1966-07-01,117.3
"433","DE",1966-07-01,72.3
"434","GB",1966-07-01,63.1
"435","IN",1966-07-01,12.2
"436","IT",1966-07-01,70.3
"437","JP",1966-07-01,120
"438","KR",1966-07-01,25.9
"439","NL",1966-07-01,52.7
"440","NO",1966-07-01,112.3
"441","NZ",1966-07-01,29.6
"442","PT",1966-07-01,75.7
"443","SE",1966-07-01,112.6
"444","US",1966-07-01,86.8
"445","AT",1966-10-01,41.4
"446","AU",1966-10-01,60.6
"447","CA",1966-10-01,83.2
"448","CH",1966-10-01,118
"449","DE",1966-10-01,72.6
"450","DK",1966-10-01,103.7
"451","GB",1966-10-01,62.1
"452","IN",1966-10-01,12.2
"453","IT",1966-10-01,71
"454","JP",1966-10-01,120.9
"455","KR",1966-10-01,26.2
"456","NL",1966-10-01,53
"457","NO",1966-10-01,112.7
"458","NZ",1966-10-01,28.7
"459","PT",1966-10-01,77.3
"460","SE",1966-10-01,112.1
"461","US",1966-10-01,86.9
"462","AT",1967-01-01,42
"463","AU",1967-01-01,60.5
"464","CA",1967-01-01,83
"465","CH",1967-01-01,117
"466","DE",1967-01-01,72.7
"467","DK",1967-01-01,104.9
"468","GB",1967-01-01,61
"469","IN",1967-01-01,12.2
"470","IT",1967-01-01,71.8
"471","JP",1967-01-01,120
"472","KR",1967-01-01,27.3
"473","NL",1967-01-01,53.8
"474","NO",1967-01-01,112.5
"475","NZ",1967-01-01,31.2
"476","PT",1967-01-01,75.7
"477","SE",1967-01-01,112.2
"478","US",1967-01-01,86.5
"479","AT",1967-04-01,42.4
"480","AU",1967-04-01,60.7
"481","CA",1967-04-01,83.1
"482","CH",1967-04-01,117.3
"483","DE",1967-04-01,74
"484","DK",1967-04-01,105.6
"485","GB",1967-04-01,60
"486","IN",1967-04-01,11.8
"487","IT",1967-04-01,72.3
"488","JP",1967-04-01,119.5
"489","KR",1967-04-01,30.4
"490","NL",1967-04-01,54.6
"491","NO",1967-04-01,112.1
"492","NZ",1967-04-01,29.6
"493","PT",1967-04-01,75.5
"494","SE",1967-04-01,113.1
"495","US",1967-04-01,87.5
"496","AT",1967-07-01,42.4
"497","AU",1967-07-01,61.2
"498","CA",1967-07-01,85.1
"499","CH",1967-07-01,117.4
"500","DE",1967-07-01,75.1
"501","DK",1967-07-01,105.9
"502","GB",1967-07-01,63
"503","IN",1967-07-01,11.3
"504","IT",1967-07-01,73.1
"505","JP",1967-07-01,120.5
"506","KR",1967-07-01,34.4
"507","NL",1967-07-01,55.6
"508","NO",1967-07-01,111.8
"509","NZ",1967-07-01,28.8
"510","PT",1967-07-01,74.6
"511","SE",1967-07-01,113.7
"512","US",1967-07-01,87.7
"513","AT",1967-10-01,42.5
"514","AU",1967-10-01,61.8
"515","CA",1967-10-01,87.9
"516","CH",1967-10-01,119.7
"517","DE",1967-10-01,76.2
"518","DK",1967-10-01,106.1
"519","GB",1967-10-01,62.4
"520","IN",1967-10-01,11.4
"521","IT",1967-10-01,73.5
"522","JP",1967-10-01,121.8
"523","KR",1967-10-01,36.2
"524","NL",1967-10-01,57.3
"525","NO",1967-10-01,111.7
"526","NZ",1967-10-01,27.1
"527","PT",1967-10-01,73.5
