"ID","borrowers_country","date","HHCreditXDC"
"271","GB","United Kingdom",1971-01-01,17.064
"272","HU","Hungary",1971-01-01,25.678
"273","IT","Italy",1971-01-01,6.437
"274","JP","Japan",1971-01-01,21169.9
"275","KR","Korea",1971-01-01,329.14
"276","US","United States",1971-01-01,469.639
"277","CA","Canada",1971-04-01,32.611
"278","DE","Germany",1971-04-01,149.861
"279","FI","Finland",1971-04-01,1.573
"280","GB","United Kingdom",1971-04-01,17.064
"281","HU","Hungary",1971-04-01,27.02
"282","IT","Italy",1971-04-01,6.714
"283","JP","Japan",1971-04-01,22099.3
"284","KR","Korea",1971-04-01,348.425
"285","US","United States",1971-04-01,483.064
"286","CA","Canada",1971-07-01,33.941
"287","DE","Germany",1971-07-01,155.3
"288","FI","Finland",1971-07-01,1.641
"289","GB","United Kingdom",1971-07-01,17.917
"290","HU","Hungary",1971-07-01,28.384
"291","IT","Italy",1971-07-01,6.984
"292","JP","Japan",1971-07-01,23227.3
"293","KR","Korea",1971-07-01,378.211
"294","US","United States",1971-07-01,495.415
"295","CA","Canada",1971-10-01,35.751
"296","DE","Germany",1971-10-01,162.976
"297","FI","Finland",1971-10-01,1.709
"298","GB","United Kingdom",1971-10-01,18.77
"299","HU","Hungary",1971-10-01,29.604
"300","IT","Italy",1971-10-01,7.223
"301","JP","Japan",1971-10-01,24943.5
"302","KR","Korea",1971-10-01,391.974
"303","US","United States",1971-10-01,511.31
"304","CA","Canada",1972-01-01,36.687
"305","DE","Germany",1972-01-01,166.477
"306","FI","Finland",1972-01-01,1.615
"307","GB","United Kingdom",1972-01-01,20.477
"308","HU","Hungary",1972-01-01,30.3
"309","IT","Italy",1972-01-01,7.425
"310","JP","Japan",1972-01-01,25733.6
"311","KR","Korea",1972-01-01,409.515
"312","US","United States",1972-01-01,518.277
"313","CA","Canada",1972-04-01,38.631
"314","DE","Germany",1972-04-01,173.199
"315","FI","Finland",1972-04-01,1.521
"316","GB","United Kingdom",1972-04-01,21.33
"317","HU","Hungary",1972-04-01,31.716
"318","IT","Italy",1972-04-01,7.662
"319","JP","Japan",1972-04-01,26852.4
"320","KR","Korea",1972-04-01,433.962
"321","US","United States",1972-04-01,537.901
"322","CA","Canada",1972-07-01,40.46
"323","DE","Germany",1972-07-01,177.623
"324","FI","Finland",1972-07-01,1.425
"325","GB","United Kingdom",1972-07-01,23.036
"326","HU","Hungary",1972-07-01,33.14
"327","IT","Italy",1972-07-01,8.024
"328","JP","Japan",1972-07-01,28713.5
"329","KR","Korea",1972-07-01,463.916
"330","US","United States",1972-07-01,553.025
"331","CA","Canada",1972-10-01,42.775
"332","DE","Germany",1972-10-01,187.873
"333","FI","Finland",1972-10-01,1.33
"334","GB","United Kingdom",1972-10-01,23.89
"335","HU","Hungary",1972-10-01,34.357
"336","IT","Italy",1972-10-01,8.601
"337","JP","Japan",1972-10-01,31374.1
"338","KR","Korea",1972-10-01,468.958
"339","US","United States",1972-10-01,571.267
"340","CA","Canada",1973-01-01,44.183
"341","DE","Germany",1973-01-01,194.762
"342","FI","Finland",1973-01-01,1.41
"343","GB","United Kingdom",1973-01-01,24.743
"344","HU","Hungary",1973-01-01,34.915
"345","IT","Italy",1973-01-01,9.413
"346","JP","Japan",1973-01-01,33419.2
"347","KR","Korea",1973-01-01,506.372
"348","US","United States",1973-01-01,583.239
"349","CA","Canada",1973-04-01,46.845
"350","DE","Germany",1973-04-01,202.019
"351","FI","Finland",1973-04-01,1.491
"352","GB","United Kingdom",1973-04-01,26.449
"353","HU","Hungary",1973-04-01,36.525
"354","IT","Italy",1973-04-01,10.347
"355","JP","Japan",1973-04-01,35360.2
"356","KR","Korea",1973-04-01,551.566
"357","US","United States",1973-04-01,601.75
"358","CA","Canada",1973-07-01,49.239
"359","DE","Germany",1973-07-01,207.63
"360","FI","Finland",1973-07-01,1.572
"361","GB","United Kingdom",1973-07-01,27.302
"362","HU","Hungary",1973-07-01,38.415
"363","IT","Italy",1973-07-01,11.216
"364","JP","Japan",1973-07-01,37999.3
"365","KR","Korea",1973-07-01,601.111
"366","US","United States",1973-07-01,620.571
"367","CA","Canada",1973-10-01,51.781
"368","DE","Germany",1973-10-01,214.969
"369","FI","Finland",1973-10-01,1.654
"370","GB","United Kingdom",1973-10-01,27.302
"371","HU","Hungary",1973-10-01,39.689
"372","IT","Italy",1973-10-01,11.821
"373","JP","Japan",1973-10-01,41315
"374","KR","Korea",1973-10-01,651.152
"375","US","United States",1973-10-01,636.677
"376","CA","Canada",1974-01-01,53.672
"377","DE","Germany",1974-01-01,216.545
"378","FI","Finland",1974-01-01,2.191
"379","GB","United Kingdom",1974-01-01,28.156
"380","HU","Hungary",1974-01-01,40.571
"381","IT","Italy",1974-01-01,12.035
"382","JP","Japan",1974-01-01,42807.1
"383","KR","Korea",1974-01-01,742.29
"384","US","United States",1974-01-01,640.514
"385","CA","Canada",1974-04-01,56.81
"386","DE","Germany",1974-04-01,221.084
"387","FI","Finland",1974-04-01,2.734
"388","GB","United Kingdom",1974-04-01,29.009
"389","HU","Hungary",1974-04-01,42.267
"390","IT","Italy",1974-04-01,12.02
"391","JP","Japan",1974-04-01,44533.6
"392","KR","Korea",1974-04-01,842.533
"393","US","United States",1974-04-01,660.692
"394","CA","Canada",1974-07-01,58.988
"395","DE","Germany",1974-07-01,224.109
"396","FI","Finland",1974-07-01,3.283
"397","GB","United Kingdom",1974-07-01,29.862
"398","HU","Hungary",1974-07-01,44.195
"399","IT","Italy",1974-07-01,11.988
"400","JP","Japan",1974-07-01,46353.3
"401","KR","Korea",1974-07-01,968.174
"402","US","United States",1974-07-01,678.739
"403","CA","Canada",1974-10-01,61.342
"404","DE","Germany",1974-10-01,228.367
"405","FI","Finland",1974-10-01,3.832
"406","GB","United Kingdom",1974-10-01,29.862
"407","HU","Hungary",1974-10-01,46.311
"408","IT","Italy",1974-10-01,12.158
"409","JP","Japan",1974-10-01,48827.7
"410","KR","Korea",1974-10-01,1075.31
"411","US","United States",1974-10-01,691.472
"412","CA","Canada",1975-01-01,62.688
"413","DE","Germany",1975-01-01,228.368
"414","FI","Finland",1975-01-01,3.862
"415","GB","United Kingdom",1975-01-01,30.715
"416","HU","Hungary",1975-01-01,47.133
"417","IT","Italy",1975-01-01,12.674
"418","JP","Japan",1975-01-01,49960.8
"419","KR","Korea",1975-01-01,1075.31
"420","NO","Norway",1975-01-01,63.574
"421","US","United States",1975-01-01,690.577
"422","CA","Canada",1975-04-01,65.484
"423","DE","Germany",1975-04-01,231.695
"424","FI","Finland",1975-04-01,3.815
"425","GB","United Kingdom",1975-04-01,32.422
"426","HU","Hungary",1975-04-01,49.262
"427","IT","Italy",1975-04-01,13.437
"428","JP","Japan",1975-04-01,51554.8
"429","KR","Korea",1975-04-01,1152.813
"430","NO","Norway",1975-04-01,65.83
"431","US","United States",1975-04-01,704.331
"432","CA","Canada",1975-07-01,68.59
"433","DE","Germany",1975-07-01,233.979
"434","FI","Finland",1975-07-01,3.79
"435","GB","United Kingdom",1975-07-01,32.422
"436","HU","Hungary",1975-07-01,51.847
"437","IT","Italy",1975-07-01,14.279
"438","JP","Japan",1975-07-01,53714.6
"439","KR","Korea",1975-07-01,1239.403
"440","NO","Norway",1975-07-01,67.784
"441","US","United States",1975-07-01,724.07
"442","CA","Canada",1975-10-01,72.103
"443","DE","Germany",1975-10-01,243.465
