"ID","borrowers_country","date","credit"
"197","GB","United Kingdom",2012-01-01,175.2
"198","GB","United Kingdom",2012-04-01,176.3
"199","GB","United Kingdom",2012-07-01,176.1
"200","GB","United Kingdom",2012-10-01,173.7
"201","GB","United Kingdom",2013-01-01,171.2
"202","GB","United Kingdom",2013-04-01,172.2
"203","GB","United Kingdom",2013-07-01,169.6
"204","GB","United Kingdom",2013-10-01,166.8
"205","GB","United Kingdom",2014-01-01,163.6
"206","GB","United Kingdom",2014-04-01,161.2
"207","GB","United Kingdom",2014-07-01,160
"208","GB","United Kingdom",2014-10-01,158.6
"209","GB","United Kingdom",2015-01-01,160.1
"210","GB","United Kingdom",2015-04-01,155.7
"211","GB","United Kingdom",2015-07-01,156
"212","GB","United Kingdom",2015-10-01,156
"213","GB","United Kingdom",2016-01-01,156.4
"214","GB","United Kingdom",2016-04-01,159.2
"215","GB","United Kingdom",2016-07-01,161.4
"216","GB","United Kingdom",2016-10-01,159.4
"217","GB","United Kingdom",2017-01-01,160.1
"218","GB","United Kingdom",2017-04-01,159.7
"219","GB","United Kingdom",2017-07-01,160.9
"220","GB","United Kingdom",2017-10-01,161.6
"221","GB","United Kingdom",2018-01-01,159.6
"222","GB","United Kingdom",2018-04-01,159.1
"223","GB","United Kingdom",2018-07-01,157
"224","GB","United Kingdom",2018-10-01,156.3
"225","GB","United Kingdom",2019-01-01,154.1
"226","GB","United Kingdom",2019-04-01,155.2
"227","GB","United Kingdom",2019-07-01,156.8
"228","GB","United Kingdom",2019-10-01,154.8
"229","GB","United Kingdom",2020-01-01,156.2
"230","GB","United Kingdom",2020-04-01,164.4
"231","GB","United Kingdom",2020-07-01,164.7
"232","GB","United Kingdom",2020-10-01,166.6
"233","GB","United Kingdom",2021-01-01,164.9
"234","GB","United Kingdom",2021-04-01,160.3
