"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"103","AU","Australia","A","Credit-to-GDP ratios (actual data)",1985-10-01,94.1
"104","AU","Australia","A","Credit-to-GDP ratios (actual data)",1986-01-01,94.8
"105","AU","Australia","A","Credit-to-GDP ratios (actual data)",1986-04-01,99.5
"106","AU","Australia","A","Credit-to-GDP ratios (actual data)",1986-07-01,103.7
"107","AU","Australia","A","Credit-to-GDP ratios (actual data)",1986-10-01,105.4
"108","AU","Australia","A","Credit-to-GDP ratios (actual data)",1987-01-01,105.6
"109","AU","Australia","A","Credit-to-GDP ratios (actual data)",1987-04-01,108.3
"110","AU","Australia","A","Credit-to-GDP ratios (actual data)",1987-07-01,109.1
"111","AU","Australia","A","Credit-to-GDP ratios (actual data)",1987-10-01,111.3
"112","AU","Australia","A","Credit-to-GDP ratios (actual data)",1988-01-01,113.8
"113","AU","Australia","A","Credit-to-GDP ratios (actual data)",1988-04-01,117.2
"114","AU","Australia","A","Credit-to-GDP ratios (actual data)",1988-07-01,117.8
"115","AU","Australia","A","Credit-to-GDP ratios (actual data)",1988-10-01,117.2
"116","AU","Australia","A","Credit-to-GDP ratios (actual data)",1989-01-01,118.5
"117","AU","Australia","A","Credit-to-GDP ratios (actual data)",1989-04-01,121.7
"118","AU","Australia","A","Credit-to-GDP ratios (actual data)",1989-07-01,119.7
"119","AU","Australia","A","Credit-to-GDP ratios (actual data)",1989-10-01,119
"120","AU","Australia","A","Credit-to-GDP ratios (actual data)",1990-01-01,120.8
"121","AU","Australia","A","Credit-to-GDP ratios (actual data)",1990-04-01,120.8
"122","AU","Australia","A","Credit-to-GDP ratios (actual data)",1990-07-01,120.2
"123","AU","Australia","A","Credit-to-GDP ratios (actual data)",1990-10-01,120.7
"124","AU","Australia","A","Credit-to-GDP ratios (actual data)",1991-01-01,122.3
"125","AU","Australia","A","Credit-to-GDP ratios (actual data)",1991-04-01,121.6
"126","AU","Australia","A","Credit-to-GDP ratios (actual data)",1991-07-01,119.7
"127","AU","Australia","A","Credit-to-GDP ratios (actual data)",1991-10-01,120.6
"128","AU","Australia","A","Credit-to-GDP ratios (actual data)",1992-01-01,119.7
"129","AU","Australia","A","Credit-to-GDP ratios (actual data)",1992-04-01,119.8
"130","AU","Australia","A","Credit-to-GDP ratios (actual data)",1992-07-01,120.7
"131","AU","Australia","A","Credit-to-GDP ratios (actual data)",1992-10-01,118.1
"132","AU","Australia","A","Credit-to-GDP ratios (actual data)",1993-01-01,116.3
"133","AU","Australia","A","Credit-to-GDP ratios (actual data)",1993-04-01,113.9
"134","AU","Australia","A","Credit-to-GDP ratios (actual data)",1993-07-01,114.1
"135","AU","Australia","A","Credit-to-GDP ratios (actual data)",1993-10-01,112.8
"136","AU","Australia","A","Credit-to-GDP ratios (actual data)",1994-01-01,112
"137","AU","Australia","A","Credit-to-GDP ratios (actual data)",1994-04-01,112.4
"138","AU","Australia","A","Credit-to-GDP ratios (actual data)",1994-07-01,112.6
"139","AU","Australia","A","Credit-to-GDP ratios (actual data)",1994-10-01,112.7
"140","AU","Australia","A","Credit-to-GDP ratios (actual data)",1995-01-01,112.9
"141","AU","Australia","A","Credit-to-GDP ratios (actual data)",1995-04-01,113.5
"142","AU","Australia","A","Credit-to-GDP ratios (actual data)",1995-07-01,113.5
"143","AU","Australia","A","Credit-to-GDP ratios (actual data)",1995-10-01,114.2
"144","AU","Australia","A","Credit-to-GDP ratios (actual data)",1996-01-01,114.5
"145","AU","Australia","A","Credit-to-GDP ratios (actual data)",1996-04-01,115.4
