"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"207","JP","Japan","A","Credit-to-GDP ratios (actual data)",2016-04-01,152.9
"208","JP","Japan","A","Credit-to-GDP ratios (actual data)",2016-07-01,154
"209","JP","Japan","A","Credit-to-GDP ratios (actual data)",2016-10-01,155.5
"210","JP","Japan","A","Credit-to-GDP ratios (actual data)",2017-01-01,156
"211","JP","Japan","A","Credit-to-GDP ratios (actual data)",2017-04-01,155.3
"212","JP","Japan","A","Credit-to-GDP ratios (actual data)",2017-07-01,155.3
"213","JP","Japan","A","Credit-to-GDP ratios (actual data)",2017-10-01,155.8
"214","JP","Japan","A","Credit-to-GDP ratios (actual data)",2018-01-01,155.2
"215","JP","Japan","A","Credit-to-GDP ratios (actual data)",2018-04-01,155.8
"216","JP","Japan","A","Credit-to-GDP ratios (actual data)",2018-07-01,157.3
"217","JP","Japan","A","Credit-to-GDP ratios (actual data)",2018-10-01,159.2
"218","JP","Japan","A","Credit-to-GDP ratios (actual data)",2019-01-01,160
"219","JP","Japan","A","Credit-to-GDP ratios (actual data)",2019-04-01,160.6
"220","JP","Japan","A","Credit-to-GDP ratios (actual data)",2019-07-01,161.7
"221","JP","Japan","A","Credit-to-GDP ratios (actual data)",2019-10-01,163.4
"222","JP","Japan","A","Credit-to-GDP ratios (actual data)",2020-01-01,165.1
"223","JP","Japan","A","Credit-to-GDP ratios (actual data)",2020-04-01,176.7
"224","JP","Japan","A","Credit-to-GDP ratios (actual data)",2020-07-01,180
"225","JP","Japan","A","Credit-to-GDP ratios (actual data)",2020-10-01,182.3
"226","JP","Japan","A","Credit-to-GDP ratios (actual data)",2021-01-01,183.1
"227","JP","Japan","A","Credit-to-GDP ratios (actual data)",2021-04-01,182
