"ID","borrowers_country","cg_dtype","credit_gap_data_type","date","obs_value"
"120","FR","France","A","Credit-to-GDP ratios (actual data)",1999-07-01,131.7
"121","FR","France","A","Credit-to-GDP ratios (actual data)",1999-10-01,133.4
"122","FR","France","A","Credit-to-GDP ratios (actual data)",2000-01-01,133.3
"123","FR","France","A","Credit-to-GDP ratios (actual data)",2000-04-01,134.9
"124","FR","France","A","Credit-to-GDP ratios (actual data)",2000-07-01,137
"125","FR","France","A","Credit-to-GDP ratios (actual data)",2000-10-01,137.8
"126","FR","France","A","Credit-to-GDP ratios (actual data)",2001-01-01,139.3
"127","FR","France","A","Credit-to-GDP ratios (actual data)",2001-04-01,141.2
"128","FR","France","A","Credit-to-GDP ratios (actual data)",2001-07-01,141.9
"129","FR","France","A","Credit-to-GDP ratios (actual data)",2001-10-01,142.8
"130","FR","France","A","Credit-to-GDP ratios (actual data)",2002-01-01,143.2
"131","FR","France","A","Credit-to-GDP ratios (actual data)",2002-04-01,143.1
"132","FR","France","A","Credit-to-GDP ratios (actual data)",2002-07-01,142.6
"133","FR","France","A","Credit-to-GDP ratios (actual data)",2002-10-01,143.1
"134","FR","France","A","Credit-to-GDP ratios (actual data)",2003-01-01,144.1
"135","FR","France","A","Credit-to-GDP ratios (actual data)",2003-04-01,144.5
"136","FR","France","A","Credit-to-GDP ratios (actual data)",2003-07-01,144
"137","FR","France","A","Credit-to-GDP ratios (actual data)",2003-10-01,142.6
"138","FR","France","A","Credit-to-GDP ratios (actual data)",2004-01-01,142.8
"139","FR","France","A","Credit-to-GDP ratios (actual data)",2004-04-01,144.4
"140","FR","France","A","Credit-to-GDP ratios (actual data)",2004-07-01,144.9
"141","FR","France","A","Credit-to-GDP ratios (actual data)",2004-10-01,145.3
"142","FR","France","A","Credit-to-GDP ratios (actual data)",2005-01-01,145.2
"143","FR","France","A","Credit-to-GDP ratios (actual data)",2005-04-01,147.6
"144","FR","France","A","Credit-to-GDP ratios (actual data)",2005-07-01,148
"145","FR","France","A","Credit-to-GDP ratios (actual data)",2005-10-01,149.4
"146","FR","France","A","Credit-to-GDP ratios (actual data)",2006-01-01,150.1
"147","FR","France","A","Credit-to-GDP ratios (actual data)",2006-04-01,151.7
"148","FR","France","A","Credit-to-GDP ratios (actual data)",2006-07-01,152.2
"149","FR","France","A","Credit-to-GDP ratios (actual data)",2006-10-01,153.3
"150","FR","France","A","Credit-to-GDP ratios (actual data)",2007-01-01,154
"151","FR","France","A","Credit-to-GDP ratios (actual data)",2007-04-01,156.3
"152","FR","France","A","Credit-to-GDP ratios (actual data)",2007-07-01,157
"153","FR","France","A","Credit-to-GDP ratios (actual data)",2007-10-01,157
"154","FR","France","A","Credit-to-GDP ratios (actual data)",2008-01-01,157.6
"155","FR","France","A","Credit-to-GDP ratios (actual data)",2008-04-01,160.5
"156","FR","France","A","Credit-to-GDP ratios (actual data)",2008-07-01,163
"157","FR","France","A","Credit-to-GDP ratios (actual data)",2008-10-01,164.2
"158","FR","France","A","Credit-to-GDP ratios (actual data)",2009-01-01,166.5
"159","FR","France","A","Credit-to-GDP ratios (actual data)",2009-04-01,168.8
"160","FR","France","A","Credit-to-GDP ratios (actual data)",2009-07-01,170.5
"161","FR","France","A","Credit-to-GDP ratios (actual data)",2009-10-01,172.1
"162","FR","France","A","Credit-to-GDP ratios (actual data)",2010-01-01,172.2
